ITEM_ID,SYSTEM_ID,RESPONSE_CATEGORY_ID,ITEM_NORMALIZED,ERROR_SUBCATEGORY_ID
29,ASCENSORES,CONSTANTS,numero pisos edificio,OK
30,ASCENSORES,CONSTANTS,total pisos,OK
31,ASCENSORES,CONSTANTS,numero ascensores,OK
32,ASCENSORES,CONSTANTS,total botones,OK
91,BUSCAMINAS,COMPONENTS,casillas,OK
92,BUSCAMINAS,COMPONENTS,tablero,OK
93,BUSCAMINAS,COMPONENTS,cronometro,OK
94,BUSCAMINAS,COMPONENTS,reloj,OK
95,BUSCAMINAS,COMPONENTS,bombas,OK
96,BUSCAMINAS,COMPONENTS,minas,OK
97,BUSCAMINAS,COMPONENTS,banderas,OK
98,BUSCAMINAS,COMPONENTS,numeros casillas,OK
99,BUSCAMINAS,COMPONENTS,numeros,OK
100,BUSCAMINAS,COMPONENTS,contador minas,OK
101,BUSCAMINAS,COMPONENTS,contador bombas,OK
102,BUSCAMINAS,VARIABLES,tiempo transcurrido,OK
103,BUSCAMINAS,VARIABLES,tiempo partida,OK
104,BUSCAMINAS,VARIABLES,tiempo victoria,OK
105,BUSCAMINAS,VARIABLES,tiempo ganar,OK
106,BUSCAMINAS,VARIABLES,resultado partida,OK
107,BUSCAMINAS,VARIABLES,estado partida,OK
108,BUSCAMINAS,VARIABLES,bombas restantes,OK
109,BUSCAMINAS,VARIABLES,minas restantes,OK
110,BUSCAMINAS,VARIABLES,minas encontradas,OK
111,BUSCAMINAS,VARIABLES,bombas encontradas,OK
112,BUSCAMINAS,VARIABLES,minas por encontrar,OK
113,BUSCAMINAS,VARIABLES,bombas por encontrar,OK
114,BUSCAMINAS,VARIABLES,casillas destapadas,OK
115,BUSCAMINAS,VARIABLES,casillas descubiertas,OK
116,BUSCAMINAS,VARIABLES,casillas sin destapar,OK
117,BUSCAMINAS,VARIABLES,casillas ocultas,OK
118,BUSCAMINAS,VARIABLES,banderas colocadas,OK
119,BUSCAMINAS,VARIABLES,cantidad banderas,OK
120,BUSCAMINAS,VARIABLES,intentos jugador,OK
121,BUSCAMINAS,VARIABLES,movimientos jugador,OK
122,BUSCAMINAS,VARIABLES,nivel dificultad,OK
123,BUSCAMINAS,VARIABLES,dificultad,OK
124,BUSCAMINAS,VARIABLES,puntaje partida,OK
125,BUSCAMINAS,VARIABLES,puntos,OK
126,BUSCAMINAS,CONSTANTS,numero bombas,OK
127,BUSCAMINAS,CONSTANTS,cantidad bombas,OK
128,BUSCAMINAS,CONSTANTS,numero casillas,OK
129,BUSCAMINAS,CONSTANTS,tamano tablero,OK
130,BUSCAMINAS,CONSTANTS,casillas sin bombas,OK
131,BUSCAMINAS,CONSTANTS,casillas seguras,OK
132,BUSCAMINAS,CONSTANTS,posicion mina,OK
133,BUSCAMINAS,CONSTANTS,ubicacion mina,OK
134,BUSCAMINAS,CONSTANTS,dimensiones tablero,OK
135,BUSCAMINAS,CONSTANTS,filas columnas,OK
136,BUSCAMINAS,CONSTANTS,tiempo maximo,OK
137,BUSCAMINAS,CONSTANTS,limite tiempo,OK
138,BUSCAMINAS,CONSTANTS,valor bandera,OK
139,BUSCAMINAS,CONSTANTS,simbolo bandera,OK
140,BUSCAMINAS,CONSTANTS,valor bomba,OK
141,BUSCAMINAS,CONSTANTS,simbolo bomba,OK
142,CONCIERTO_ESTADIO,COMPONENTS,cantante,OK
143,CONCIERTO_ESTADIO,COMPONENTS,artista,OK
144,CONCIERTO_ESTADIO,COMPONENTS,banda,OK
145,CONCIERTO_ESTADIO,COMPONENTS,grupo musical,OK
146,CONCIERTO_ESTADIO,COMPONENTS,instrumentos,OK
147,CONCIERTO_ESTADIO,COMPONENTS,instrumentos musicales,OK
148,CONCIERTO_ESTADIO,COMPONENTS,estadio,OK
149,CONCIERTO_ESTADIO,COMPONENTS,recinto,OK
150,CONCIERTO_ESTADIO,COMPONENTS,escenario,OK
151,CONCIERTO_ESTADIO,COMPONENTS,tarima,OK
152,CONCIERTO_ESTADIO,COMPONENTS,publico,OK
153,CONCIERTO_ESTADIO,COMPONENTS,asistentes,OK
154,CONCIERTO_ESTADIO,COMPONENTS,sistema audio,OK
155,CONCIERTO_ESTADIO,COMPONENTS,sonido,OK
156,CONCIERTO_ESTADIO,COMPONENTS,sistema iluminacion,OK
157,CONCIERTO_ESTADIO,COMPONENTS,luces,OK
158,CONCIERTO_ESTADIO,COMPONENTS,pantallas,OK
159,CONCIERTO_ESTADIO,COMPONENTS,pantallas gigantes,OK
160,CONCIERTO_ESTADIO,COMPONENTS,microfonos,OK
161,CONCIERTO_ESTADIO,COMPONENTS,parlantes,OK
162,CONCIERTO_ESTADIO,COMPONENTS,seguridad,OK
163,CONCIERTO_ESTADIO,COMPONENTS,entradas,OK
164,CONCIERTO_ESTADIO,COMPONENTS,boletas,OK
165,CONCIERTO_ESTADIO,COMPONENTS,accesos,OK
166,CONCIERTO_ESTADIO,COMPONENTS,entradas estadio,OK
167,CONCIERTO_ESTADIO,COMPONENTS,salidas,OK
168,CONCIERTO_ESTADIO,CONSTANTS,genero musical,OK
169,CONCIERTO_ESTADIO,CONSTANTS,lista canciones,OK
170,CONCIERTO_ESTADIO,CONSTANTS,capacidad estadio,OK
171,CONCIERTO_ESTADIO,CONSTANTS,precio entrada,OK
172,CONCIERTO_ESTADIO,CONSTANTS,fecha concierto,OK
173,CONCIERTO_ESTADIO,CONSTANTS,hora inicio,OK
174,CONCIERTO_ESTADIO,CONSTANTS,hora fin,OK
175,CONCIERTO_ESTADIO,CONSTANTS,duracion total,OK
176,CONCIERTO_ESTADIO,CONSTANTS,nombre artista,OK
177,CONCIERTO_ESTADIO,CONSTANTS,ubicacion estadio,OK
178,CONCIERTO_ESTADIO,CONSTANTS,numero salidas,OK
179,CONCIERTO_ESTADIO,CONSTANTS,numero accesos,OK
180,CONCIERTO_ESTADIO,CONSTANTS,total asistentes,OK
181,CONCIERTO_ESTADIO,VARIABLES,tiempo transcurrido,OK
182,CONCIERTO_ESTADIO,VARIABLES,cancion actual,OK
183,CONCIERTO_ESTADIO,VARIABLES,estado concierto,OK
184,CONCIERTO_ESTADIO,VARIABLES,fase concierto,OK
185,CONCIERTO_ESTADIO,VARIABLES,volumen sonido,OK
186,CONCIERTO_ESTADIO,VARIABLES,intensidad luces,OK
187,CONCIERTO_ESTADIO,VARIABLES,nivel ruido publico,OK
188,CONCIERTO_ESTADIO,VARIABLES,incidentes seguridad,OK
189,CURSO,COMPONENTS,docente,OK
190,CURSO,COMPONENTS,profesor,OK
191,CURSO,COMPONENTS,estudiantes,OK
192,CURSO,COMPONENTS,alumnos,OK
193,CURSO,COMPONENTS,contenidos,OK
194,CURSO,COMPONENTS,temas,OK
195,CURSO,COMPONENTS,clases,OK
196,CURSO,COMPONENTS,sesiones,OK
197,CURSO,COMPONENTS,evaluaciones,OK
198,CURSO,COMPONENTS,examenes,OK
199,CURSO,COMPONENTS,tareas,OK
200,CURSO,COMPONENTS,actividades,OK
201,CURSO,COMPONENTS,material apoyo,OK
202,CURSO,COMPONENTS,recursos,OK
203,CURSO,COMPONENTS,plataforma,OK
204,CURSO,COMPONENTS,aula virtual,OK
205,CURSO,COMPONENTS,lenguaje programacion,OK
206,CURSO,COMPONENTS,lenguaje,OK
207,CURSO,CONSTANTS,nombre curso,OK
208,CURSO,CONSTANTS,codigo curso,OK
209,CURSO,CONSTANTS,numero creditos,OK
210,CURSO,CONSTANTS,duracion curso,OK
211,CURSO,CONSTANTS,fecha inicio,OK
212,CURSO,CONSTANTS,fecha fin,OK
213,CURSO,CONSTANTS,hora clase,OK
214,CURSO,CONSTANTS,cantidad evaluaciones,OK
215,CURSO,CONSTANTS,cantidad tareas,OK
216,CURSO,CONSTANTS,criterios evaluacion,OK
217,CURSO,CONSTANTS,contenidos definidos,OK
218,CURSO,CONSTANTS,docente asignado,OK
1,ASCENSORES,COMPONENTS,cabina,OK
2,ASCENSORES,COMPONENTS,usuarios,OK
3,ASCENSORES,COMPONENTS,botones,OK
4,ASCENSORES,COMPONENTS,panel botones,OK
5,ASCENSORES,COMPONENTS,panel control,OK
6,ASCENSORES,COMPONENTS,polea,OK
7,ASCENSORES,COMPONENTS,poleas,OK
8,ASCENSORES,COMPONENTS,gente,OK
9,ASCENSORES,COMPONENTS,personas,OK
10,ASCENSORES,COMPONENTS,puertas,OK
11,ASCENSORES,COMPONENTS,puerta,OK
12,ASCENSORES,COMPONENTS,piso,OK
13,ASCENSORES,COMPONENTS,pisos,OK
14,ASCENSORES,COMPONENTS,habitantes,OK
15,ASCENSORES,COMPONENTS,edificio,OK
219,CURSO,VARIABLES,tema actual,OK
220,CURSO,VARIABLES,tiempo transcurrido,OK
221,CURSO,VARIABLES,estudiantes inscritos,OK
222,CURSO,VARIABLES,estudiantes activos,OK
223,CURSO,VARIABLES,tareas pendientes,OK
224,CURSO,VARIABLES,evaluaciones pendientes,OK
225,CURSO,VARIABLES,asistencia actual,OK
226,CURSO,VARIABLES,alumnos conectados,OK
227,DOMINO,COMPONENTS,jugadores,OK
228,DOMINO,COMPONENTS,fichas,OK
229,DOMINO,COMPONENTS,dominos,OK
230,DOMINO,COMPONENTS,mesa juego,OK
231,DOMINO,COMPONENTS,tablero,OK
232,DOMINO,COMPONENTS,pozo fichas,OK
233,DOMINO,COMPONENTS,monton fichas,OK
234,DOMINO,VARIABLES,jugador turno,OK
235,DOMINO,VARIABLES,posicion ficha,OK
236,DOMINO,VARIABLES,puntaje actual,OK
237,DOMINO,VARIABLES,ronda actual,OK
238,DOMINO,VARIABLES,fichas mano,OK
239,DOMINO,VARIABLES,fichas ronda,OK
240,DOMINO,VARIABLES,fichas restantes,OK
241,DOMINO,VARIABLES,fichas pozo,OK
242,DOMINO,VARIABLES,ficha jugada,OK
243,DOMINO,VARIABLES,estado partida,OK
244,DOMINO,VARIABLES,equipo turno,OK
245,DOMINO,VARIABLES,puntos ronda,OK
246,DOMINO,CONSTANTS,cantidad fichas,OK
247,DOMINO,CONSTANTS,fichas totales,OK
248,DOMINO,CONSTANTS,capacidad jugadores,OK
249,DOMINO,CONSTANTS,maximo jugadores,OK
250,DOMINO,CONSTANTS,cantidad jugadores,OK
251,DOMINO,CONSTANTS,fichas juego,OK
252,DOMINO,CONSTANTS,cantidad dominos,OK
253,DOMINO,CONSTANTS,fichas iniciales,OK
254,DOMINO,CONSTANTS,fichas por jugador,OK
255,DOMINO,CONSTANTS,reglas juego,OK
256,DOMINO,CONSTANTS,objetivo puntos,OK
257,DOMINO,CONSTANTS,valor ficha,OK
288,PARQUEADERO,COMPONENTS,vehiculos,OK
289,PARQUEADERO,COMPONENTS,carros,OK
290,PARQUEADERO,COMPONENTS,conductores,OK
291,PARQUEADERO,COMPONENTS,usuarios,OK
292,PARQUEADERO,COMPONENTS,puestos,OK
293,PARQUEADERO,COMPONENTS,entrada,OK
294,PARQUEADERO,COMPONENTS,salida,OK
295,PARQUEADERO,COMPONENTS,tiquete,OK
296,PARQUEADERO,COMPONENTS,ticket,OK
297,PARQUEADERO,COMPONENTS,sistema pago,OK
298,PARQUEADERO,COMPONENTS,caja pago,OK
299,PARQUEADERO,COMPONENTS,camara,OK
300,PARQUEADERO,COMPONENTS,camaras,OK
301,PARQUEADERO,COMPONENTS,vigilancia,OK
302,PARQUEADERO,COMPONENTS,seguridad,OK
303,PARQUEADERO,COMPONENTS,tarifa,OK
304,PARQUEADERO,COMPONENTS,tabla tarifas,OK
305,PARQUEADERO,CONSTANTS,capacidad total,OK
306,PARQUEADERO,CONSTANTS,numero puestos,OK
307,PARQUEADERO,CONSTANTS,ubicacion parqueadero,OK
308,PARQUEADERO,CONSTANTS,horario servicio,OK
309,PARQUEADERO,CONSTANTS,tarifa hora,OK
310,PARQUEADERO,CONSTANTS,tarifa dia,OK
311,PARQUEADERO,CONSTANTS,tarifa mensual,OK
312,PARQUEADERO,CONSTANTS,placa vehiculo,OK
313,PARQUEADERO,CONSTANTS,hora entrada,OK
314,PARQUEADERO,CONSTANTS,hora salida,OK
315,PARQUEADERO,VARIABLES,puestos disponibles,OK
316,PARQUEADERO,VARIABLES,puestos ocupados,OK
317,PARQUEADERO,VARIABLES,estado puesto,OK
318,PARQUEADERO,VARIABLES,tiempo transcurrido,OK
319,PARQUEADERO,VARIABLES,tiempo estacionado,OK
320,PARQUEADERO,VARIABLES,monto actual,OK
321,PARQUEADERO,VARIABLES,estado pago,OK
322,PARQUEADERO,VARIABLES,cola entrada,OK
323,PARQUEADERO,VARIABLES,cola salida,OK
324,PUNTO_COVID,COMPONENTS,personas,OK
325,PUNTO_COVID,COMPONENTS,vacunas,OK
326,PUNTO_COVID,COMPONENTS,vacunadores,OK
327,PUNTO_COVID,COMPONENTS,mesas vacunacion,OK
328,PUNTO_COVID,COMPONENTS,jeringas,OK
329,PUNTO_COVID,COMPONENTS,registros,OK
330,PUNTO_COVID,COMPONENTS,areas espera,OK
331,PUNTO_COVID,COMPONENTS,refrigeracion,OK
332,PUNTO_COVID,CONSTANTS,tipo vacuna,OK
333,PUNTO_COVID,CONSTANTS,dosis requeridas,OK
334,PUNTO_COVID,CONSTANTS,intervalo dosis,OK
335,PUNTO_COVID,CONSTANTS,temperatura vacuna,OK
336,PUNTO_COVID,CONSTANTS,capacidad mesas,OK
337,PUNTO_COVID,CONSTANTS,horario atencion,OK
338,PUNTO_COVID,CONSTANTS,ubicacion punto,OK
339,PUNTO_COVID,CONSTANTS,lote vacuna,OK
340,PUNTO_COVID,CONSTANTS,total tiempo espera,OK
341,PUNTO_COVID,CONSTANTS,mesa asignada,OK
342,PUNTO_COVID,CONSTANTS,vacunador asignado,OK
343,PUNTO_COVID,VARIABLES,sintomas medicos,OK
344,PUNTO_COVID,VARIABLES,personas atendidas,OK
345,PUNTO_COVID,VARIABLES,personas espera,OK
346,PUNTO_COVID,VARIABLES,dosis aplicadas,OK
347,PUNTO_COVID,VARIABLES,vacunas disponibles,OK
348,PUNTO_COVID,VARIABLES,estado persona,OK
33,BIBLIOTECA,COMPONENTS,libros,OK
34,BIBLIOTECA,COMPONENTS,libro,OK
35,BIBLIOTECA,COMPONENTS,computadores,OK
36,BIBLIOTECA,COMPONENTS,computador,OK
37,BIBLIOTECA,COMPONENTS,mesas,OK
38,BIBLIOTECA,COMPONENTS,mesa,OK
39,BIBLIOTECA,COMPONENTS,sillas,OK
40,BIBLIOTECA,COMPONENTS,silla,OK
41,BIBLIOTECA,COMPONENTS,estanterias,OK
42,BIBLIOTECA,COMPONENTS,estanteria,OK
43,BIBLIOTECA,COMPONENTS,personal,OK
44,BIBLIOTECA,COMPONENTS,bibliotecarios,OK
45,BIBLIOTECA,COMPONENTS,inventario,OK
46,BIBLIOTECA,VARIABLES,numero libros inventario,OK
47,BIBLIOTECA,VARIABLES,numero libros adentro,OK
48,BIBLIOTECA,VARIABLES,numero libros prestados,OK
49,BIBLIOTECA,VARIABLES,numero libros bodega,OK
50,BIBLIOTECA,VARIABLES,numero libros dia,OK
51,BIBLIOTECA,VARIABLES,numero libros prestados dia,OK
52,BIBLIOTECA,VARIABLES,numero libros entregados,OK
53,BIBLIOTECA,VARIABLES,numero libros entregados dia,OK
54,BIBLIOTECA,VARIABLES,personas dentro biblioteca,OK
55,BIBLIOTECA,VARIABLES,numero computadores inventario,OK
56,BIBLIOTECA,VARIABLES,numero computadores prestados,OK
57,BIBLIOTECA,VARIABLES,numero sillas disponibles,OK
58,BIBLIOTECA,VARIABLES,numero computadores disponibles prestar,OK
59,BIBLIOTECA,VARIABLES,numero bibliotecarios disponibles,OK
60,BIBLIOTECA,VARIABLES,usuarios dentro biblioteca,OK
61,BIBLIOTECA,VARIABLES,numero personal disponible,OK
62,BIBLIOTECA,CONSTANTS,numero estanterias,OK
63,BIBLIOTECA,CONSTANTS,autor libro,OK
64,BIBLIOTECA,CONSTANTS,codigo libro,OK
65,BIBLIOTECA,CONSTANTS,autor,OK
66,BIBLIOTECA,CONSTANTS,numero paginas,OK
67,BIBLIOTECA,CONSTANTS,nombre libro,OK
68,BIBLIOTECA,CONSTANTS,titulo libro,OK
69,BIBLIOTECA,CONSTANTS,maximo libros persona,OK
70,BIBLIOTECA,CONSTANTS,maximo prestamos persona,OK
71,BIBLIOTECA,CONSTANTS,maximo computadores persona,OK
72,BIBLIOTECA,CONSTANTS,total computadores,OK
73,BIBLIOTECA,CONSTANTS,total libros,OK
74,BIBLIOTECA,COMPONENTS,revistas,OK
75,BIBLIOTECA,COMPONENTS,periodicos,OK
76,BIBLIOTECA,CONSTANTS,total revistas,OK
77,BIBLIOTECA,CONSTANTS,total periodicos,OK
78,ASCENSORES,COMPONENTS,motor,OK
79,ASCENSORES,CONSTANTS,numero pisos,OK
81,BIBLIOTECA,COMPONENTS,salas,OK
82,BIBLIOTECA,CONSTANTS,numero salas,OK
83,BIBLIOTECA,VARIABLES,salas disponibles,OK
84,BIBLIOTECA,VARIABLES,numero salas disponibles,OK
85,BIBLIOTECA,VARIABLES,salas ocupadas,OK
86,BIBLIOTECA,CONSTANTS,cantidad salas,OK
88,BIBLIOTECA,CONSTANTS,tiempo prestamo,OK
89,BIBLIOTECA,VARIABLES,libros prestados persona,OK
349,SALON,COMPONENTS,profesor,OK
350,SALON,COMPONENTS,estudiantes,OK
351,SALON,COMPONENTS,material,OK
352,SALON,COMPONENTS,materia,OK
353,SALON,COMPONENTS,pupitres,OK
354,SALON,COMPONENTS,tablero,OK
355,SALON,COMPONENTS,utiles escolares,OK
356,SALON,COMPONENTS,sillas,OK
357,SALON,COMPONENTS,computador,OK
358,SALON,COMPONENTS,proyector,OK
359,SALON,CONSTANTS,horario clase,OK
360,SALON,CONSTANTS,duracion clase,OK
361,SALON,CONSTANTS,tema clase,OK
362,SALON,CONSTANTS,profesor asignado,OK
363,SALON,CONSTANTS,materia asignada,OK
364,SALON,VARIABLES,numero materiales,OK
365,SALON,VARIABLES,numero estudiantes,OK
366,SALON,VARIABLES,asistencia actual,OK
367,SALON,VARIABLES,actividad actual,OK
368,SALON,VARIABLES,estado clase,OK
369,SALON,CONSTANTS,capacidad maxima,OK
370,SALON,CONSTANTS,cantidad pupitres,OK
371,SALON,CONSTANTS,cantidad sillas,OK
372,SALON,CONSTANTS,cantidad tableros,OK
373,SALON,CONSTANTS,dimensiones salon,OK
374,SALON,CONSTANTS,area salon,OK
375,SALON,CONSTANTS,tipo tablero,OK
376,SALON,CONSTANTS,disposicion pupitres,OK
377,SALON,CONSTANTS,nivel educativo,OK
378,SALON,VARIABLES,alumnos salon,OK
379,SALON,VARIABLES,alumnos dia,OK
380,SALON,VARIABLES,alumnos sentados,OK
381,SALON,VARIABLES,alumnos pie,OK
382,SALON,VARIABLES,tiempo jornada,OK
383,SALON,VARIABLES,asistencia porcentaje,OK
384,SALON,VARIABLES,actividad progreso,OK
385,SALON,VARIABLES,ruido ambiente,OK
386,SALON,VARIABLES,temperatura aula,OK
