System ID,Response Category ID,Item Normalized,Error Subcategory ID,Feedback
BIBLIOTECA,CONSTANTS,numero salas,OK,
BIBLIOTECA,VARIABLES,salas disponibles,OK,
BIBLIOTECA,VARIABLES,numero salas disponibles,OK,
BIBLIOTECA,VARIABLES,salas ocupadas,OK,
BIBLIOTECA,CONSTANTS,cantidad salas,OK,
BIBLIOTECA,CONSTANTS,tiempo prestamo,OK,
BIBLIOTECA,VARIABLES,libros prestados persona,OK,
"BIBLIOTECA,COMPONENTS,panel busqueda,NON_ESSENTIAL_ABSTRACTION,""No es un objeto relevante para el sistema,"""
"BIBLIOTECA,VARIABLES,categorias genero,CONSTANT_AS_VARIABLE,""El genero de un libro siempre es el mismo, es una constante no una variable.,"""
"BIBLIOTECA,VARIABLES,autor,CONSTANT_AS_VARIABLE,""Aunque el autor es diferente para cada libro, no lo hace variable. El autor de un libro siempre es el mismo.,"""
"BIBLIOTECA,VARIABLES,idioma,CONSTANT_AS_VARIABLE,""Aunque el idioma es diferente para cada libro, no lo hace variable. El idioma de un libro siempre es el mismo.,"""
"BIBLIOTECA,VARIABLES,sistema operativo,CONSTANT_AS_VARIABLE,""El sistema operativo siempre es constante para un computador.,"""
"BIBLIOTECA,VARIABLES,marca,CONSTANT_AS_VARIABLE,""La marca siempre es constante para un computador.,"""
"BIBLIOTECA,COMPONENTS,identificacion cada libro,DATA_AS_COMPONENT,""Esto es una constante.,"""
"BIBLIOTECA,COMPONENTS,sistema busqueda,NON_ESSENTIAL_ABSTRACTION,""No es relevante.,"""
BUSCAMINAS,CONSTANTS,jugadores,NON_ESSENTIAL_ABSTRACTION,
"BUSCAMINAS,VARIABLES,tipo jugador,NON_ESSENTIAL_ABSTRACTION,""No es información relevante,"""
"BUSCAMINAS,CONSTANTS,modo juego,NON_ESSENTIAL_ABSTRACTION,""La respuesta no es importante en el juego.,"""
"BUSCAMINAS,CONSTANTS,tiempo minimo encontrar minas,NON_ESSENTIAL_ABSTRACTION,""La respuesta refleja algo incorrecto de la abstracción del juego.,"""
BUSCAMINAS,COMPONENTS,casillas,OK,
BUSCAMINAS,COMPONENTS,tablero,OK,
BUSCAMINAS,COMPONENTS,cronometro,OK,
BUSCAMINAS,COMPONENTS,reloj,OK,
BUSCAMINAS,COMPONENTS,bombas,OK,
BUSCAMINAS,COMPONENTS,minas,OK,
BUSCAMINAS,COMPONENTS,banderas,OK,
BUSCAMINAS,COMPONENTS,numeros casillas,OK,
BUSCAMINAS,COMPONENTS,numeros,OK,
BUSCAMINAS,COMPONENTS,contador minas,OK,
BUSCAMINAS,COMPONENTS,contador bombas,OK,
BUSCAMINAS,VARIABLES,tiempo transcurrido,OK,
BUSCAMINAS,VARIABLES,tiempo partida,OK,
BUSCAMINAS,VARIABLES,tiempo victoria,OK,
BUSCAMINAS,VARIABLES,tiempo ganar,OK,
BUSCAMINAS,VARIABLES,resultado partida,OK,
BUSCAMINAS,VARIABLES,estado partida,OK,
BUSCAMINAS,VARIABLES,bombas restantes,OK,
BUSCAMINAS,VARIABLES,minas restantes,OK,
BUSCAMINAS,VARIABLES,minas encontradas,OK,
BUSCAMINAS,VARIABLES,bombas encontradas,OK,
BUSCAMINAS,VARIABLES,minas por encontrar,OK,
BUSCAMINAS,VARIABLES,bombas por encontrar,OK,
BUSCAMINAS,VARIABLES,casillas destapadas,OK,
BUSCAMINAS,VARIABLES,casillas descubiertas,OK,
BUSCAMINAS,VARIABLES,casillas sin destapar,OK,
BUSCAMINAS,VARIABLES,casillas ocultas,OK,
BUSCAMINAS,VARIABLES,banderas colocadas,OK,
BUSCAMINAS,VARIABLES,cantidad banderas,OK,
BUSCAMINAS,VARIABLES,intentos jugador,OK,
BUSCAMINAS,VARIABLES,movimientos jugador,OK,
BUSCAMINAS,VARIABLES,nivel dificultad,OK,
BUSCAMINAS,VARIABLES,dificultad,OK,
BUSCAMINAS,VARIABLES,puntaje partida,OK,
BUSCAMINAS,VARIABLES,puntos,OK,
BUSCAMINAS,CONSTANTS,numero bombas,OK,
BUSCAMINAS,CONSTANTS,cantidad bombas,OK,
BUSCAMINAS,CONSTANTS,numero casillas,OK,
BUSCAMINAS,CONSTANTS,tamano tablero,OK,
BUSCAMINAS,CONSTANTS,casillas sin bombas,OK,
BUSCAMINAS,CONSTANTS,casillas seguras,OK,
BUSCAMINAS,CONSTANTS,posicion mina,OK,
BUSCAMINAS,CONSTANTS,ubicacion mina,OK,
BUSCAMINAS,CONSTANTS,dimensiones tablero,OK,
BUSCAMINAS,CONSTANTS,filas columnas,OK,
BUSCAMINAS,CONSTANTS,tiempo maximo,OK,
BUSCAMINAS,CONSTANTS,limite tiempo,OK,
BUSCAMINAS,CONSTANTS,valor bandera,OK,
BUSCAMINAS,CONSTANTS,simbolo bandera,OK,
BUSCAMINAS,CONSTANTS,valor bomba,OK,
BUSCAMINAS,CONSTANTS,simbolo bomba,OK,
"BUSCAMINAS,VARIABLES,jugadores,COMPONENT_AS_DATA,""Los jugadores son componentes, no informacion variable,"""
CONCIERTO_ESTADIO,VARIABLES,intensidad luces,OK,
CONCIERTO_ESTADIO,VARIABLES,nivel ruido publico,OK,
CONCIERTO_ESTADIO,VARIABLES,incidentes seguridad,OK,
CONCIERTO_ESTADIO,CONSTANTS,instrumentos,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,VARIABLES,clima,NON_ESSENTIAL_ABSTRACTION,
CONCIERTO_ESTADIO,CONSTANTS,luces,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,CONSTANTS,equipo sonido,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,CONSTANTS,escenario,COMPONENT_AS_DATA,
"CONCIERTO_ESTADIO,CONSTANTS, banda,COMPONENT_AS_DATA,""Cuando se habla de constantes y variables, se habla de información sobre los componentes,"""
CONCIERTO_ESTADIO,CONSTANTS, genero,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,CONSTANTS, sistema audio,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,CONSTANTS, lugar,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,VARIABLES, canciones,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,VARIABLES, publico,COMPONENT_AS_DATA,
"CONCIERTO_ESTADIO,VARIABLES, instrumentos,COMPONENT_AS_DATA,""Las variables deben de brindar informacion acerca de los componentes,"""
CONCIERTO_ESTADIO,VARIABLES, personal,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,CONSTANTS,boletos,COMPONENT_AS_DATA,
"CONCIERTO_ESTADIO,CONSTANTS,numero canciones,VARIABLE_AS_CONSTANT,""El número de canciones que canta el artista o la banda pueden cambiar,"""
CONCIERTO_ESTADIO,VARIABLES,efectos visuales,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,CONSTANTS,estadio,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,VARIABLES,asistentes,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,VARIABLES,cantante,COMPONENT_AS_DATA,
CONCIERTO_ESTADIO,CONSTANTS,equipo audio,COMPONENT_AS_DATA,
"CONCIERTO_ESTADIO,CONSTANTS, constantes en concierto es que siempre se va a buscar entretener publico medio musica,NON_ESSENTIAL_ABSTRACTION,""Se pone el proposito como constante,"""
CONCIERTO_ESTADIO,COMPONENTS,electronica,NON_ESSENTIAL_ABSTRACTION,
CONCIERTO_ESTADIO,COMPONENTS,cantante,OK,
CONCIERTO_ESTADIO,COMPONENTS,artista,OK,
CONCIERTO_ESTADIO,COMPONENTS,banda,OK,
CONCIERTO_ESTADIO,COMPONENTS,grupo musical,OK,
CONCIERTO_ESTADIO,COMPONENTS,instrumentos,OK,
CONCIERTO_ESTADIO,COMPONENTS,instrumentos musicales,OK,
CONCIERTO_ESTADIO,COMPONENTS,estadio,OK,
CONCIERTO_ESTADIO,COMPONENTS,recinto,OK,
CONCIERTO_ESTADIO,COMPONENTS,escenario,OK,
CONCIERTO_ESTADIO,COMPONENTS,tarima,OK,
CONCIERTO_ESTADIO,COMPONENTS,publico,OK,
CONCIERTO_ESTADIO,COMPONENTS,asistentes,OK,
CONCIERTO_ESTADIO,COMPONENTS,sistema audio,OK,
CONCIERTO_ESTADIO,COMPONENTS,sonido,OK,
CONCIERTO_ESTADIO,COMPONENTS,sistema iluminacion,OK,
CONCIERTO_ESTADIO,COMPONENTS,luces,OK,
CONCIERTO_ESTADIO,COMPONENTS,pantallas,OK,
CONCIERTO_ESTADIO,COMPONENTS,pantallas gigantes,OK,
CONCIERTO_ESTADIO,COMPONENTS,microfonos,OK,
CONCIERTO_ESTADIO,COMPONENTS,parlantes,OK,
CONCIERTO_ESTADIO,COMPONENTS,seguridad,OK,
CONCIERTO_ESTADIO,COMPONENTS,entradas,OK,
CONCIERTO_ESTADIO,COMPONENTS,boletas,OK,
CONCIERTO_ESTADIO,COMPONENTS,accesos,OK,
CONCIERTO_ESTADIO,COMPONENTS,entradas estadio,OK,
CONCIERTO_ESTADIO,COMPONENTS,salidas,OK,
CONCIERTO_ESTADIO,CONSTANTS,genero musical,OK,
CONCIERTO_ESTADIO,CONSTANTS,lista canciones,OK,
CONCIERTO_ESTADIO,CONSTANTS,capacidad estadio,OK,
CONCIERTO_ESTADIO,CONSTANTS,precio entrada,OK,
CONCIERTO_ESTADIO,CONSTANTS,fecha concierto,OK,
CONCIERTO_ESTADIO,CONSTANTS,hora inicio,OK,
CONCIERTO_ESTADIO,CONSTANTS,hora fin,OK,
CONCIERTO_ESTADIO,CONSTANTS,duracion total,OK,
CONCIERTO_ESTADIO,CONSTANTS,nombre artista,OK,
CONCIERTO_ESTADIO,CONSTANTS,ubicacion estadio,OK,
CONCIERTO_ESTADIO,CONSTANTS,numero salidas,OK,
CONCIERTO_ESTADIO,CONSTANTS,numero accesos,OK,
CONCIERTO_ESTADIO,CONSTANTS,total asistentes,OK,
CONCIERTO_ESTADIO,VARIABLES,tiempo transcurrido,OK,
CONCIERTO_ESTADIO,VARIABLES,cancion actual,OK,
CONCIERTO_ESTADIO,VARIABLES,estado concierto,OK,
CONCIERTO_ESTADIO,VARIABLES,fase concierto,OK,
CONCIERTO_ESTADIO,VARIABLES,volumen sonido,OK,
CURSO,COMPONENTS,docente,OK,
"CURSO,VARIABLES,nombres los estudiantes,NON_ESSENTIAL_ABSTRACTION,""No es información relevante,"""
CURSO,COMPONENTS,estudiantes,OK,
CURSO,COMPONENTS,alumnos,OK,
CURSO,COMPONENTS,contenidos,OK,
CURSO,COMPONENTS,temas,OK,
CURSO,COMPONENTS,clases,OK,
CURSO,COMPONENTS,sesiones,OK,
CURSO,COMPONENTS,evaluaciones,OK,
CURSO,COMPONENTS,examenes,OK,
CURSO,COMPONENTS,tareas,OK,
CURSO,COMPONENTS,actividades,OK,
CURSO,COMPONENTS,material apoyo,OK,
CURSO,COMPONENTS,recursos,OK,
CURSO,COMPONENTS,plataforma,OK,
CURSO,COMPONENTS,aula virtual,OK,
CURSO,COMPONENTS,lenguaje programacion,OK,
CURSO,COMPONENTS,lenguaje,OK,
CURSO,CONSTANTS,nombre curso,OK,
CURSO,CONSTANTS,codigo curso,OK,
CURSO,CONSTANTS,numero creditos,OK,
CURSO,CONSTANTS,duracion curso,OK,
CURSO,CONSTANTS,fecha inicio,OK,
CURSO,CONSTANTS,fecha fin,OK,
CURSO,CONSTANTS,hora clase,OK,
CURSO,CONSTANTS,cantidad evaluaciones,OK,
CURSO,CONSTANTS,cantidad tareas,OK,
CURSO,CONSTANTS,criterios evaluacion,OK,
CURSO,CONSTANTS,contenidos definidos,OK,
CURSO,CONSTANTS,docente asignado,OK,
CURSO,VARIABLES,tema actual,OK,
CURSO,VARIABLES,tiempo transcurrido,OK,
CURSO,VARIABLES,estudiantes inscritos,OK,
CURSO,VARIABLES,estudiantes activos,OK,
CURSO,VARIABLES,tareas pendientes,OK,
CURSO,VARIABLES,evaluaciones pendientes,OK,
CURSO,VARIABLES,asistencia actual,OK,
CURSO,VARIABLES,alumnos conectados,OK,
CURSO,VARIABLES,identidad estudiantes,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,monitor,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,profesor,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,horario,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,temarios,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,facultad,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,profesores,NON_ESSENTIAL_ABSTRACTION,
CURSO,VARIABLES,delay la transmision,NON_ESSENTIAL_ABSTRACTION,
CURSO,VARIABLES,enfoque actividad,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,plataforma la clase,NON_ESSENTIAL_ABSTRACTION,
CURSO,CONSTANTS,profesor monitor,NON_ESSENTIAL_ABSTRACTION,
CURSO,VARIABLES,plataformas la clase,NON_ESSENTIAL_ABSTRACTION,
"CURSO,CONSTANTS,universidad,NON_ESSENTIAL_ABSTRACTION,""¿Es relevante para dar información del curso?,"""
"CURSO,CONSTANTS,profesor,NON_ESSENTIAL_ABSTRACTION,""¿Es relevante para dar información del curso?,"""
"CURSO,CONSTANTS,alumnos inscritos,VARIABLE_AS_CONSTANT,""Los alumnos inscritos pueden cambiar en el semestres,"""
CURSO,COMPONENTS,profesor,OK,
DOMINO,COMPONENTS,jugadores,OK,
DOMINO,VARIABLES, lugar en superficie donde se colocan piezas,NON_ESSENTIAL_ABSTRACTION,
DOMINO,COMPONENTS,dominos,OK,
DOMINO,COMPONENTS,mesa juego,OK,
DOMINO,COMPONENTS,tablero,OK,
DOMINO,COMPONENTS,pozo fichas,OK,
DOMINO,COMPONENTS,monton fichas,OK,
DOMINO,VARIABLES,jugador turno,OK,
DOMINO,VARIABLES,posicion ficha,OK,
DOMINO,VARIABLES,puntaje actual,OK,
DOMINO,VARIABLES,ronda actual,OK,
DOMINO,VARIABLES,fichas mano,OK,
DOMINO,VARIABLES,fichas ronda,OK,
DOMINO,VARIABLES,fichas restantes,OK,
DOMINO,VARIABLES,fichas pozo,OK,
DOMINO,VARIABLES,ficha jugada,OK,
DOMINO,VARIABLES,estado partida,OK,
DOMINO,VARIABLES,equipo turno,OK,
DOMINO,VARIABLES,puntos ronda,OK,
DOMINO,CONSTANTS,cantidad fichas,OK,
DOMINO,CONSTANTS,fichas totales,OK,
DOMINO,CONSTANTS,capacidad jugadores,OK,
DOMINO,CONSTANTS,maximo jugadores,OK,
DOMINO,CONSTANTS,cantidad jugadores,OK,
DOMINO,CONSTANTS,fichas juego,OK,
DOMINO,CONSTANTS,cantidad dominos,OK,
DOMINO,CONSTANTS,fichas iniciales,OK,
DOMINO,CONSTANTS,fichas por jugador,OK,
DOMINO,CONSTANTS,reglas juego,OK,
DOMINO,CONSTANTS,objetivo puntos,OK,
DOMINO,CONSTANTS,valor ficha,OK,
"DOMINO,VARIABLES,tipo mesa,NON_ESSENTIAL_ABSTRACTION,""No es informacion relevante para abstraer el sistema.,"""
"DOMINO,VARIABLES,listado reglas,NON_ESSENTIAL_ABSTRACTION,""Las reglas no son ni un componente ni informacion asociada a un componente. Describen la lógica del juego.,"""
"DOMINO,VARIABLES,fichas que tiene cada jugador,CONSTANT_AS_VARIABLE,""Las fichas que tiene cada jugador durante la partida siempre son las mismas,"""
"DOMINO,VARIABLES,cantidad fichas cada jugador,CONSTANT_AS_VARIABLE,""Las fichas que debe tener cada jugador durante la partida siempre son las mismas,"""
"DOMINO,COMPONENTS,reglas,NON_ESSENTIAL_ABSTRACTION,""No son un componente que se modele dentro del sistema, normalmente hacen parte de la lógica (cómo se comporta el sistema),"""
"DOMINO,CONSTANTS,color las fichas,NON_ESSENTIAL_ABSTRACTION,""No es relevante para el sistema,"""
"DOMINO,CONSTANTS,forma las fichas,NON_ESSENTIAL_ABSTRACTION,""No es relevante para el sistema,"""
DOMINO,COMPONENTS,mesa,NON_ESSENTIAL_ABSTRACTION,
DOMINO,COMPONENTS,material anotacion puntos,NON_ESSENTIAL_ABSTRACTION,
"DOMINO,VARIABLES,nombre jugadores,NON_ESSENTIAL_ABSTRACTION,""Los nombres no son relevantes para el funcionamiento del sistema.,"""
"DOMINO,CONSTANTS,nombre jugador,NON_ESSENTIAL_ABSTRACTION,""No es relevante para la abstraccion del sistema,"""
"DOMINO,CONSTANTS,posicion en mesa jugador,NON_ESSENTIAL_ABSTRACTION,""No es relevante para la abstraccion del sistema,"""
"DOMINO,CONSTANTS,capacidad la mesa,NON_ESSENTIAL_ABSTRACTION,""No es relevante para la abstraccion del sistema,"""
"DOMINO,CONSTANTS,tipo mesa,NON_ESSENTIAL_ABSTRACTION,""El sistema funciona independientemente del tipo de mesa,"""
"DOMINO,VARIABLES,numero que se encuentran en ambos lados las piezas,CONSTANT_AS_VARIABLE,""Los numeros que se encuentran en las piezas siempre son los mismos una vez se establecen.,"""
"DOMINO,COMPONENTS,piezas domino pieza un rectangulo uniforme con dos valores numericos 06 en cada lado,NON_ESSENTIAL_ABSTRACTION,""No es necesario poner la descripcion de los componentes. Mejor hubiera sido poner mas componentes.,"""
"DOMINO,COMPONENTS,valores cada pieza,DATA_AS_COMPONENT,""Esto no es un componente, es información acerca de un componente (la pieza).,"""
DOMINO,VARIABLES, orden en cual se sacan piezas,NON_ESSENTIAL_ABSTRACTION,
DOMINO,COMPONENTS,fichas,OK,
PARQUEADERO,VARIABLES,identidad los empleados,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,VARIABLES,cola salida,OK,
PARQUEADERO,CONSTANTS,cantidad empleados,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,CONSTANTS,tipo vehiculos,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,CONSTANTS,altura maxima,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,CONSTANTS,material,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,CONSTANTS,pisos,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,VARIABLES,identificacion autos,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,VARIABLES,identidad personal,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,VARIABLES,mantenimiento espacios,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,VARIABLES,tipo vehiculos,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,CONSTANTS,cantidad personal,NON_ESSENTIAL_ABSTRACTION,
PARQUEADERO,CONSTANTS,salario personal,NON_ESSENTIAL_ABSTRACTION,
"PARQUEADERO,CONSTANTS,tamano espacios parqueo,NON_ESSENTIAL_ABSTRACTION,""¿El tamaño influye en el compartamiento del sistema?,"""
"PARQUEADERO,CONSTANTS,senales parqueadero,NON_ESSENTIAL_ABSTRACTION,""A pesar de que no se entiende, no representa información relevante,"""
"PARQUEADERO,VARIABLES,marca carros,NON_ESSENTIAL_ABSTRACTION,""No es información relevante,"""
PARQUEADERO,COMPONENTS,vehiculos,OK,
PARQUEADERO,COMPONENTS,carros,OK,
PARQUEADERO,COMPONENTS,conductores,OK,
PARQUEADERO,COMPONENTS,usuarios,OK,
PARQUEADERO,COMPONENTS,puestos,OK,
PARQUEADERO,COMPONENTS,entrada,OK,
PARQUEADERO,COMPONENTS,salida,OK,
PARQUEADERO,COMPONENTS,tiquete,OK,
PARQUEADERO,COMPONENTS,ticket,OK,
PARQUEADERO,COMPONENTS,sistema pago,OK,
PARQUEADERO,COMPONENTS,caja pago,OK,
PARQUEADERO,COMPONENTS,camara,OK,
PARQUEADERO,COMPONENTS,camaras,OK,
PARQUEADERO,COMPONENTS,vigilancia,OK,
PARQUEADERO,COMPONENTS,seguridad,OK,
PARQUEADERO,COMPONENTS,tarifa,OK,
PARQUEADERO,COMPONENTS,tabla tarifas,OK,
PARQUEADERO,CONSTANTS,capacidad total,OK,
PARQUEADERO,CONSTANTS,numero puestos,OK,
PARQUEADERO,CONSTANTS,ubicacion parqueadero,OK,
PARQUEADERO,CONSTANTS,horario servicio,OK,
PARQUEADERO,CONSTANTS,tarifa hora,OK,
PARQUEADERO,CONSTANTS,tarifa dia,OK,
PARQUEADERO,CONSTANTS,tarifa mensual,OK,
PARQUEADERO,CONSTANTS,placa vehiculo,OK,
PARQUEADERO,CONSTANTS,hora entrada,OK,
PARQUEADERO,CONSTANTS,hora salida,OK,
PARQUEADERO,VARIABLES,puestos disponibles,OK,
PARQUEADERO,VARIABLES,puestos ocupados,OK,
PARQUEADERO,VARIABLES,estado puesto,OK,
PARQUEADERO,VARIABLES,tiempo transcurrido,OK,
PARQUEADERO,VARIABLES,tiempo estacionado,OK,
PARQUEADERO,VARIABLES,monto actual,OK,
PARQUEADERO,VARIABLES,estado pago,OK,
PARQUEADERO,VARIABLES,cola entrada,OK,
PARQUEADERO,VARIABLES,tiempo estadia cada usuario,NON_ESSENTIAL_ABSTRACTION,
PARQUES,VARIABLES,jugador turno,OK,
PARQUES,VARIABLES,posicion ficha,OK,
PARQUES,VARIABLES,valor dado actual,OK,
PARQUES,VARIABLES,estado partida,OK,
PARQUES,CONSTANTS,reglas juego,COMPONENT_AS_DATA,
PARQUES,VARIABLES, ganador,DATA_AS_COMPONENT,
PARQUES,CONSTANTS,tablero,COMPONENT_AS_DATA,
PARQUES,VARIABLES,jugar o no con apuestas,NON_ESSENTIAL_ABSTRACTION,
"PARQUES,COMPONENTS, reglas juego,NON_ESSENTIAL_ABSTRACTION,""No es un componente esencial para el sistema,"""
"PARQUES,COMPONENTS,turnos,NON_ESSENTIAL_ABSTRACTION,""No es un componente esencial para el sistema,"""
"PARQUES,CONSTANTS, dados,COMPONENT_AS_DATA,""Esto es un componente,"""
PARQUES,CONSTANTS, tablero,COMPONENT_AS_DATA,
PARQUES,CONSTANTS, reglas,COMPONENT_AS_DATA,
PARQUES,CONSTANTS, turnos la partida,COMPONENT_AS_DATA,
PARQUES,CONSTANTS, meta,COMPONENT_AS_DATA,
PARQUES,VARIABLES, forma las fichas,NON_ESSENTIAL_ABSTRACTION,
PARQUES,VARIABLES,dado,COMPONENT_AS_DATA,
PARQUES,COMPONENTS,numero jugadores,DATA_AS_COMPONENT,
